vendor,name,url,enable_proxy,description,more_info,enable_new,enable_trial,types,keywords,target,slug,best_bets,subjects,desc_pos,lib_note,enable_popular,enable_hidden,internal_note,resource_icons,thumbnail,content_id
"VENDOR NAME: optional, 45 characters max","DATABASE NAME: required, 255 characters max","DATABASE URL: required, 1000 characters max","ENABLE PROXY?: 0=disabled, 1=enabled","DESCRIPTION: optional, 5000 characters max","MORE INFORMATION: optional, 5000 characters max","FLAG NEW?: 0=disabled, 1=enabled","FLAG TRIAL?: 0=disabled, 1=enabled","DATABASE TYPE: optional, delimited with semi-colon","ALT NAME / KEYWORDS: optional, delimited with semi-colon","WINDOW TARGET: 0 =system default, 1=current window, 2=new window","FRIENDLY URL: optional, unique, 100 characters max","BEST BET SUBJECTS: optional, delimited with semi-colon","ADDITIONAL SUBJECTS: optional, delimited with semi-colon","DESCRIPTION DISPAY: 0=popup, 1=title, 2=icon, 3=hide","LIBRARY REVIEW: optional, 5000 characters max","FLAG POPULAR?: 0=disabled, 1=enabled","FLAG HIDDEN?: 0=disabled, 1=enabled","INTERNAL NOTE: optional, 1000 characters max","RESOURCE ICON IDS: optional, delimited with semi-colon","THUMBNAIL IMAGE URL: optional, url, 1000 characters max","LIBGUIDES CONTENT ID: optional, unique, only used for updates"
Bloom,Bloom’s Literary Reference Online,https://docs.google.com/presentation/d/1PvBszQUbrUD_TIihGIdszuRqYyJNZGZxL5mzQerCCoc/preview?rm=minimal#slide=id.g3258ce0fe5b_5_44,0,,,0,0,Full text;Non-Fiction;Digital;,,2,resources/bloom-literary,,English,1,,0,0,,,,37423437
Britannica,Britannica,https://docs.google.com/presentation/d/1PvBszQUbrUD_TIihGIdszuRqYyJNZGZxL5mzQerCCoc/preview?rm=minimal#slide=id.g3258ce0fe5b_5_9,0,,,0,0,Full text;Non-Fiction;Digital;,,2,resources/britannica,,Multi-Subject,1,,0,0,,,,37423434
Financial Times,Financial Times,https://docs.google.com/presentation/d/1PvBszQUbrUD_TIihGIdszuRqYyJNZGZxL5mzQerCCoc/preview?rm=minimal#slide=id.g337425d5877_0_19,0,Top-rated for international news.,,0,0,Full text;Non-Fiction;News articles;Digital;,,2,resources/financial-times,,News,1,,1,0,,,,37423315
Follett,Follett Destiny,https://yorkhouse.follettdestiny.ca/,0,"Our physical catalogue of 9,000 physical books and DVDs at the Learning Commons",,0,0,Full text;Fiction;Non-Fiction;Physical;,,2,resources/catalogue,,Multi-Subject; Fiction,1,,0,0,,,,37423430
Gale,Gale in Context - Highschool,https://docs.google.com/presentation/d/1PvBszQUbrUD_TIihGIdszuRqYyJNZGZxL5mzQerCCoc/preview?rm=minimal#slide=id.p15,0,,,0,0,Full text;Non-Fiction;Digital;,,2,resources/gale/highschool,,Multi-Subject,1,,0,0,,,,37423432
Gale,Gale in Context - Biography,https://docs.google.com/presentation/d/1PvBszQUbrUD_TIihGIdszuRqYyJNZGZxL5mzQerCCoc/preview?rm=minimal#slide=id.g333d490cfc7_0_0,0,,,0,0,Full text;Non-Fiction;Digital;,,2,resources/gale/biography,,Multi-Subject; English; Socials,1,,0,0,,,,37423433
Gale,Gale in Context - World History,https://docs.google.com/presentation/d/1PvBszQUbrUD_TIihGIdszuRqYyJNZGZxL5mzQerCCoc/preview?rm=minimal#slide=id.g333d490cfc7_0_9,0,,,0,0,Full text;Non-Fiction;Digital;,,2,resources/gale/history,,Socials,1,,0,0,,,,37423444
Gale,Points to the Past,http://pointstothepast.ca/,0,,,0,0,Full text;Non-Fiction;Digital;,,2,resources/gale/points-to-the-past,,Socials,1,,0,0,,,,37423443
Infobase,Health Reference Centre,https://docs.google.com/presentation/d/1PvBszQUbrUD_TIihGIdszuRqYyJNZGZxL5mzQerCCoc/preview?rm=minimal#slide=id.g3258ce0fe5b_9_19,0,,,0,0,Full text;Non-Fiction;Digital;,,2,resources/infobase/health,,Science,1,,0,0,,,,37423439
